A Plague Tale: Innocence|xCloud|https://en.wikipedia.org/wiki/A_Plague_Tale:_Innocence
Absolver|xCloud|https://en.wikipedia.org/wiki/Absolver
Afterparty|xCloud|https://en.wikipedia.org/wiki/Afterparty_(video_game)
Age of Wonders: Planetfall|xCloud|https://en.wikipedia.org/wiki/Age_of_Wonders:_Planetfall
ARK: Survival Evolved|xCloud|https://en.wikipedia.org/wiki/Ark:_Survival_Evolved
Astroneer|xCloud|https://en.wikipedia.org/wiki/Astroneer
Batman: Arkham Knight|xCloud|https://en.wikipedia.org/wiki/Batman:_Arkham_Knight
Battletoads|xCloud|https://en.wikipedia.org/wiki/Battletoads
Battle Chasers: Nightwar|xCloud|https://en.wikipedia.org/wiki/Battle_Chasers:_Nightwar
Black Desert|xCloud|https://en.wikipedia.org/wiki/Black_Desert_Online
Blair Witch|xCloud|https://en.wikipedia.org/wiki/Blair_Witch_(video_game)
Bleeding Edge|xCloud|
Bloodstained: Ritual of the Night|xCloud|
Bridge Constructor Portal|xCloud|
Carrion|xCloud|
Children of Morta|xCloud|
ClusterTruck|xCloud|
Crackdown 3: Campaign|xCloud|
Crosscode|xCloud|
Darksiders Genesis|xCloud|
Darksiders III|xCloud|
DayZ|xCloud|
de Blob|xCloud|
Dead by Daylight|xCloud|
Dead Cells|xCloud|
Dead Island Definitive Edition|xCloud|
Death Squared|xCloud|
Deliver us the moon|xCloud|
Demon's Tilt|xCloud|
Descenders Destiny 2: Shadowkeep & Forsaken expansion (September 22)|xCloud|
DiRT 4|xCloud|
Don't Starve|xCloud|
Double Kick Heroes|xCloud|
Drake Hollow|xCloud|
Dungeon of the Endless|xCloud|
Enter The Gungeon|xCloud|
F1 2019|xCloud|
Fallout 76|xCloud|
Farming Simulator 17|xCloud|
Felix the Reaper|xCloud|
Fishing Sim World: Pro Tour|xCloud|
For the King|xCloud|
Forager|xCloud|
Forza Horizon 4|xCloud|
Fractured Minds|xCloud|
Frostpunk: Console Edition|xCloud|
Gato Roboto|xCloud|
Gears of War 1: Ultimate Edition|xCloud|
Gears of War 4|xCloud|
Gears of War 5|xCloud|
Goat Simulator|xCloud|
Golf with Your Friends|xCloud|
Grounded|xCloud|
Guacamelee! 2|xCloud|
Halo 5: Guardians|xCloud|
Halo Wars 1: Definitive Edition|xCloud|
Halo Wars 2|xCloud|
Halo: The Master Chief Collection|xCloud|
Halo: Spartan Assault|xCloud|
Hellblade: Senua's Sacrifice|xCloud|
Hello Neighbor|xCloud|
Hollow Knight (Renewal)|xCloud|
Hot Shot Racing|xCloud|
Human Fall Flat|xCloud|
Hyperdot|xCloud|
Hypnospace Outlaw|xCloud|
Indivisible|xCloud|
Journey to the Savage Planet|xCloud|
Katana ZERO (Coming soon)|xCloud|
Killer Instinct DE|xCloud|
Kona|xCloud|
Levelhead|xCloud|
Lonely Mountains: Downhill|xCloud|
Marvel vs. Capcom: Infinite|xCloud|
Metro 2033 Redux|xCloud|
Middle Earth: Shadow of War|xCloud|
Minecraft: Dungeons|xCloud|
MINIT|xCloud|
Momodora: Reverie Under the Moonlight|xCloud|
Moonlighter|xCloud|
